"";"post_code";"muni_name"
"831";"27910";"Säkylä"
"832";"27920";"Säkylä"
"833";"28100";"Pori"
"834";"28120";"Pori"
"835";"28130";"Pori"
"836";"28190";"Pori"
"837";"28200";"Pori"
"838";"28220";"Pori"
"839";"28240";"Pori"
"840";"28260";"Ulvila"
"841";"28300";"Pori"
"842";"28330";"Pori"
"843";"28360";"Pori"
"844";"28370";"Pori"
"845";"28400";"Ulvila"
"846";"28430";"Pori"
"847";"28450";"Ulvila"
"848";"28500";"Pori"
"849";"28540";"Pori"
"850";"28560";"Pori"
"851";"28580";"Pori"
"852";"28600";"Pori"
"853";"28610";"Pori"
"854";"28660";"Pori"
"855";"28760";"Pori"
"856";"28800";"Pori"
"857";"28840";"Pori"
"858";"28880";"Pori"
"859";"28900";"Pori"
"860";"29100";"Eurajoki"
"861";"29180";"Eurajoki"
"862";"29200";"Harjavalta"
"863";"29250";"Nakkila"
"864";"29270";"Nakkila"
"865";"29280";"Nakkila"
"866";"29310";"Ulvila"
"867";"29320";"Ulvila"
"868";"29340";"Ulvila"
"869";"29350";"Ulvila"
"870";"29570";"Pori"
"871";"29600";"Pori"
"872";"29630";"Pomarkku"
"873";"29640";"Pomarkku"
"874";"29680";"Pori"
"875";"29700";"Pori"
"876";"29720";"Pori"
"877";"29740";"Merikarvia"
"878";"29750";"Merikarvia"
"879";"29760";"Merikarvia"
"880";"29790";"Merikarvia"
"881";"29810";"Siikainen"
"882";"29830";"Siikainen"
"883";"29860";"Siikainen"
"884";"29880";"Siikainen"
"885";"29900";"Merikarvia"
"886";"29940";"Merikarvia"
"887";"30100";"Forssa"
"888";"30300";"Forssa"
"889";"30420";"Forssa"
"890";"31110";"Forssa"
"891";"31130";"Forssa"
"892";"31140";"Urjala"
"893";"31160";"Urjala"
"894";"31170";"Forssa"
"895";"31230";"Tammela"
"896";"31250";"Tammela"
"897";"31300";"Tammela"
"898";"31310";"Tammela"
"899";"31340";"Tammela"
"900";"31350";"Tammela"
"901";"31370";"Tammela"
"902";"31380";"Tammela"
"903";"31400";"Somero"
"904";"31410";"Somero"
"905";"31450";"Somero"
"906";"31460";"Somero"
"907";"31470";"Somero"
"908";"31490";"Somero"
"909";"31500";"Koski Tl"
"910";"31520";"Somero"
"911";"31530";"Somero"
"912";"31600";"Jokioinen"
"913";"31610";"Jokioinen"
"914";"31620";"Jokioinen"
"915";"31630";"Jokioinen"
"916";"31640";"Humppila"
"917";"31650";"Humppila"
"918";"31700";"Urjala"
"919";"31720";"Urjala"
"920";"31730";"Urjala"
"921";"31750";"Urjala"
"922";"31760";"Urjala"
"923";"31810";"Punkalaidun"
"924";"31830";"Urjala"
"925";"31850";"Punkalaidun"
"926";"31860";"Urjala"
"927";"31900";"Punkalaidun"
"928";"31930";"Punkalaidun"
"929";"31950";"Punkalaidun"
"930";"31960";"Loimaa"
"931";"31970";"Punkalaidun"
"932";"32100";"Ypäjä"
"933";"32140";"Ypäjä"
